Title,Artists,Album,Album Release Date
Gangsta's Paradise (feat. L.V.),"['Coolio', 'L.V.']",Gangsta's Paradise,1995-11-07
Numb,['21 Savage'],Issa Album,2017-07-06
GO 2.0,"['Burak Yeter', 'Ryan Riback']",GO 2.0,2017-07-28
Young Dumb & Broke,['Khalid'],American Teen,2017-04-27
Juna kulkee part. 2 (feat. SLS),"['Sairas T', 'SLS']",Delirium,2016-03-18
Ooh Ahh (My Life Be Like) (feat. Toby Mac),"['Grits', 'TobyMac']",The Art of Translation,2002-08-06
Forget About Me,['Night Lovell'],Concept Vague,2014-12-30
Mirrors - Radio Edit,['Justin Timberlake'],Mirrors (Radio Edit),2013-02-11
Paris,['$uicideboy$'],Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,2016-09-08
A Lie,"['French Montana', 'The Weeknd', 'Max B']",Jungle Rules,2017-07-14
Down For Me (feat. 24hrs),"['G-Eazy', 'Carnage', '24hrs']",Step Brothers,2017-04-11
The Way Life Goes (feat. Oh Wonder),"['Lil Uzi Vert', 'Oh Wonder']",Luv Is Rage 2,2017-08-25
Sauce It Up,['Lil Uzi Vert'],Luv Is Rage 2,2017-08-25
444+222,['Lil Uzi Vert'],Luv Is Rage 2,2017-08-25
Two®,['Lil Uzi Vert'],Luv Is Rage 2,2017-08-25
Sad Song (feat. Elena Coats),"['We The Kings', 'Elena Coats']",Somewhere Somehow,2013-12-16
Fuckboi,['Joseph'],Fuckboi,2017-06-15
Elämästä irti,['Mikael Gabriel'],Mun maailma,2013-01-01
Kangastuksii,"['DEM', 'PistePiste', 'Maiki']",Kangastuksii,2017-07-21
Rakasta mut palasiks (feat. Reino Nordin),"['Bang For The Buck', 'Reino Nordin']",Rakasta mut palasiks (feat. Reino Nordin),2017-06-13
Kaikki ok,"['Ideaali & Jay Who?', 'Henna Narva']",Kaikki ok,2017-06-26
Little Do You Know,['Evang'],Little Do You Know,2016-05-17
Never Letting Go,['Tim McMorris'],Forever,2016-04-27
Perfect,['Ed Sheeran'],÷ (Deluxe),2017-03-03
Best I Ever Had,['Drake'],So Far Gone,2008-09-15
It's Gotta Be You,['Isaiah Firebrace'],It's Gotta Be You,2016-11-21
Eilisen aurinko,['Aurora'],Kadotaan kaupunkiin,2015-01-23
Aseeton,['Kliff'],Aseeton,2014-09-17
I Don’t Wanna Live Forever (Fifty Shades Darker),"['ZAYN', 'Taylor Swift']",I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09
Young And Beautiful,['Lana Del Rey'],Young And Beautiful,2013-01-01
Say You Won't Let Go,['James Arthur'],Say You Won't Let Go,2016-09-09
Mä olen tässä,['Mikko Harju'],Mä olen tässä,2015-10-30
Rakasta mua nyt,['Haloo Helsinki!'],Hulluuden Highway,2017-03-10
Minä suojelen sinua kaikelta,['Ellinoora'],Minä suojelen sinua kaikelta,2017-03-20
Kuuluuks,"['Juno', 'JANNA', 'Gracias']",050187,2013-04-08
Texas Sex Ranger (feat. Eino Antiwäkki),"['Jumal X10 Lavis', 'Eino Antiwäkki']",Gorgonzola Flow,2008-03-07
I Got Bitches,['A2M'],I Got Bitches,2014-07-31
Pahat pimut,"['Mäkki', 'Kube']",Pahat pimut,2013-12-23
Mitäpä tässä,['Yksi Totuus'],Mitäpä tässä,2017-08-01
Instruction,"['Jax Jones', 'Demi Lovato', 'Stefflon Don']",Instruction,2017-06-16
JJani - Muovii ft PistePiste,"['JJani', 'PistePiste']",Muovii,2017-06-28
Don't Hurt Me,"['Mustard', 'Nicki Minaj', 'Jeremih']",Don't Hurt Me,2016-07-01
All In,['Emil Assergård'],All In,2016-04-13
Still Breathing,['Green Day'],Still Breathing,2016-09-23
Bambi,['Henriguez'],Arkee & Juhlaa,2016-03-18
Look What You Made Me Do,['Taylor Swift'],Look What You Made Me Do,2017-08-24
Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",Havana (feat. Young Thug),2017-08-03
Sorry Not Sorry,['Demi Lovato'],Sorry Not Sorry,2017-07-11
New Rules,['Dua Lipa'],Dua Lipa,2017-06-02
Lonely Together (feat. Rita Ora),"['Avicii', 'Rita Ora']",AVĪCI (01),2017-08-10
OMG (feat. Quavo),"['Camila Cabello', 'Quavo']",OMG (feat. Quavo),2017-08-03
Would You Ever,"['Skrillex', 'Poo Bear']",Would You Ever,2017-07-26
I Like Me Better,['Lauv'],I Like Me Better,2017-05-19
Mi Gente,"['J Balvin', 'Willy William']",Mi Gente,2017-06-30
Feel It Still,['Portugal. The Man'],Feel It Still,2017-03-02
Why,['Sabrina Carpenter'],Why,2017-07-07
Bodak Yellow,['Cardi B'],Bodak Yellow,2017-06-16
Love Galore,"['SZA', 'Travis Scott']",Love Galore,2017-04-27
Praying,['Kesha'],Rainbow,2017-08-11
Questions,['Chris Brown'],Questions,2017-08-16
Unforgettable,['Thomas Rhett'],Unforgettable,2017-07-28
Think Before I Talk,['Astrid S'],Think Before I Talk,2017-08-25
Hold Me,['R3HAB'],Hold Me,2017-07-13
Complicated (feat. Kiiara),"['Dimitri Vegas & Like Mike', 'David Guetta', 'Dimitri Vegas', 'Kiiara']",Complicated (feat. Kiiara),2017-07-28
As Crazy As You Are - Edit,['FROIDZ'],As Crazy As You Are (Edit),2017-05-05
Rudeboy,['SONNY'],Rudeboy,2017-06-16
I Wonder,"['The Him', 'LissA']",I Wonder,2017-02-03
All Stars,"['Martin Solveig', 'ALMA']",All Stars,2017-06-16
Get Low (with Liam Payne),"['Zedd', 'Liam Payne']",Get Low (with Liam Payne),2017-07-06
UAE,['Jay Alvarrez'],UAE,2017-06-11
Sex on Fire,['Kings of Leon'],Only By The Night,2008-09-23
What a Girl Wants,['Pia Mia'],What a Girl Wants,2013-09-23
Me Tehtiin Tää,['Robin Packalen'],Me Tehtiin Tää,2017-08-23
Aamukuuteen (feat. Erin),"['Antti Tuisku', 'Erin']",Aamukuuteen (feat. Erin),2017-08-18
Juoppokuski,"['Mäkki', 'Arttu Wiskari']",Juoppokuski,2017-08-25
Syliin,"['Vilma Alina', 'Jon-Jon']",Syliin,2017-08-25
Bom Bidi Bom,"['Nick Jonas', 'Nicki Minaj']",Fifty Shades Darker (Original Motion Picture Soundtrack),2017-02-10
6K,['Mikael Gabriel'],6K,2017-07-07
Reminder - Remix,"['The Weeknd', 'A$AP Rocky', 'Young Thug']",Reminder (Remix),2017-08-01
That's It (feat. Gucci Mane & 2 Chainz),"['Bebe Rexha', 'Gucci Mane', '2 Chainz']",All Your Fault: Pt. 2,2017-08-11
Water,['Jack Garratt'],Phase (Deluxe),2016-02-19
Scary Monsters and Nice Sprites,['Skrillex'],Scary Monsters and Nice Sprites (Deluxe Tour Edition),2010-12-21
Bangarang (feat. Sirah),"['Skrillex', 'Sirah']",Bangarang EP,2011-12-27
Either Way (feat. Joey Bada$$),"['Snakehips', 'Anne-Marie', 'Joey Bada$$']",Either Way (feat. Joey Bada$$),2017-07-28
Bubblegum Bitch,['MARINA'],Electra Heart (Deluxe),2012-04-30
He Could Be the One,['Hannah Montana'],Best Of Hannah Montana,2011-01-01
Wake Up,['Hilary Duff'],Most Wanted,2005-01-01
Redbone,['Childish Gambino'],"""Awaken, My Love!""",2016-12-02
Not Nice,['PARTYNEXTDOOR'],Not Nice,2016-07-22
Replay,['Zendaya'],Zendaya,2013-01-01
Something To Dance For / TTYLXOX Mash-Up,"['Zendaya', 'Bella Thorne']",Shake It Up: Live 2 Dance,2012-01-01
Hakuna Matata,"['Nathan Lane', 'Ernie Sabella', 'Jason Weaver', 'Joseph Williams']",The Lion King,1994-01-01
Bibbidi-Bobbidi-Boo (The Magic Song),['Helena Bonham Carter'],Cinderella (Original Motion Picture Soundtrack),2015-01-01
Try Everything,['Shakira'],Zootopia (Original Motion Picture Soundtrack),2016-02-12
How Far I'll Go,"[""Auli'i Cravalho""]",Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18
What's My Name,"['China Anne McClain', 'Thomas Doherty', 'Dylan Playfair', 'Disney']",Descendants 2 (Original TV Movie Soundtrack),2017-07-21
Calling All the Monsters,['China Anne McClain'],Calling All The Monsters,2011-01-01
Dynamite,['China Anne McClain'],A.N.T. Farm (Original Soundtrack),2012-01-01
Exceptional,['China Anne McClain'],A.N.T. Farm (Original Soundtrack),2012-01-01
"Cruisin' for a Bruisin' - From ""Teen Beach Movie""/Soundtrack Version","['Ross Lynch', 'Jason Evigan', 'Grace Phipps']",Teen Beach Movie,2013-01-01
It's Goin' Down,"['Dove Cameron', 'Sofia Carson', 'Cameron Boyce', 'Booboo Stewart', 'China Anne McClain', 'Mitchell Hope', 'Thomas Doherty', 'Dylan Playfair', 'Disney']",Descendants 2 (Original TV Movie Soundtrack),2017-07-21
"Determinate - From ""Lemonade Mouth""","['Adam Hicks', 'Bridgit Mendler', 'Naomi Scott', 'Hayley Kiyoko']",Lemonade Mouth,2011-01-01
This Is Me,"['Demi Lovato', 'Joe Jonas']",Camp Rock,2008-01-01
"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""","['Demi Lovato', 'Joe Jonas']",Camp Rock 2: The Final Jam,2010-01-01
Breaking Free,"['Troy', 'Gabriella Montez', 'Disney']",High School Musical,2006-01-01
Magic,['Selena Gomez'],Wizards of Waverly Place,2009-01-01
The Climb,['Miley Cyrus'],Hannah Montana The Movie,2009-01-01
She's So Gone,['Naomi Scott'],Lemonade Mouth,2011-01-01
"Can't Back Down - From ""Camp Rock 2: The Final Jam""","['Demi Lovato', 'Alyson Stoner', 'Anna Maria Perez de Taglé', 'Char Ligera']",Camp Rock 2: The Final Jam,2010-01-01
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",['Hannah Montana'],Hannah Montana,2006-01-01
Turn Up the Music,"['Adam Hicks', 'Bridgit Mendler', 'Naomi Scott', 'Hayley Kiyoko', 'Blake Michael']",Lemonade Mouth,2011-01-01
TTYLXOX,['Bella Thorne'],Shake It Up: Live 2 Dance (Deluxe Edition),2012-03-20
Something To Dance For,['Zendaya'],Shake It Up: Live 2 Dance (Deluxe Edition),2012-03-20
Made In Japan,"['Bella Thorne', 'Zendaya']",Shake It Up: Made in Japan,2012-08-21
Watch Me,"['Bella Thorne', 'Zendaya', 'Cast of Shake It Up: Break It Down']",Shake It Up: Break It Down,2011-01-01
"Shake It Up - From ""Shake It Up""",['Selena Gomez'],Shake It Up: Break It Down,2011-01-01
Up Up And Away,['Blush'],Shake It Up: Live 2 Dance (Deluxe Edition),2012-03-20
Our Generation,['Sibel'],Shake It Up: Break It Down,2011-01-01
Omat säännöt,['Cheek'],Kuka muu muka,2013-09-20
Uncover,['Zara Larsson'],Uncover,2013-05-13
Se tyttö,['Mikael Gabriel'],Mun maailma,2013-01-01
No Love,"['Eminem', 'Lil Wayne']",Recovery,2010-06-18
Onko sulla pokkaa,['Petri Nygård'],29 Syntiä - Kaikki vitun hitit,2011-10-24
Sanon suoraan,['Petri Nygård'],29 Syntiä - Kaikki vitun hitit,2011-10-24
Creatures Of The Night,"['Hardwell', 'Austin Mahone']",Creatures Of The Night,2017-05-12
All I Ever Need,['Austin Mahone'],The Secret,2014-05-27
Say You're Just a Friend (feat. Flo Rida),"['Austin Mahone', 'Flo Rida']",Say You're Just a Friend (feat. Flo Rida),2012-12-03
Say Somethin',['Austin Mahone'],Say Somethin',2012-06-05
BUTTERFLY EFFECT,['Travis Scott'],BUTTERFLY EFFECT,2017-05-18
I Don't Wanna Be In Love (Dance Floor Anthem),['Good Charlotte'],Greatest Hits,2010-11-12
Take A Bow,['Rihanna'],Good Girl Gone Bad: Reloaded,2008-06-02
Dangerous,"['Kardinal Offishall', 'Akon']",Not 4 Sale,2008-01-01
Do You Remember,"['Jay Sean', 'Sean Paul', 'Lil Jon']",All Or Nothing,2009-01-01
Kiss Me Thru The Phone,"['Soulja Boy', 'Sammie']",iSouljaBoyTellem,2008-01-01
Promiscuous,"['Nelly Furtado', 'Timbaland']",The Best of Nelly Furtado (Deluxe),2010-01-01
Day 'N' Nite (nightmare),['Kid Cudi'],Man On The Moon: The End Of Day,2009-09-15
Super Bass,['Nicki Minaj'],Pink Friday (Deluxe),2010-01-01
Sexy Can I (feat. Yung Berg),"['Ray J', 'Yung Berg']",Sexy Can I,2008-01-08
Love In This Club (feat. Young Jeezy),"['USHER', 'Jeezy']",Love In This Club,2008-02-22
All Star,['Smash Mouth'],Astro Lounge,1999-06-08
Shortie Like Mine (feat. Chris Brown & Johntá Austin),"['Bow Wow', 'Chris Brown', 'Johnta Austin']",Playlist: The Very Best Of Bow Wow,2010-07-27
Ain't It Fun,['Paramore'],Paramore,2013-04-05
DONTTRUSTME,['3OH!3'],WANT (Deluxe),2009-01-16
My First Kiss (feat. Ke$ha),"['3OH!3', 'Kesha']",Streets Of Gold,2010-06-25
Hello - Single Edit,"['Martin Solveig', 'Dragonette']",Hello,2010-11-26
Jump Around,['House Of Pain'],House Of Pain,1992
Poker Face,['Lady Gaga'],The Fame Monster (International Deluxe),2009-01-01
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney,1987-06-02
So What,['P!nk'],Greatest Hits...So Far!!!,2010-11-12
Ice Ice Baby,['Vanilla Ice'],Vanilla Ice Is Back! - Hip Hop Classics,2008-11-04
I Love It,"['Icona Pop', 'Charli XCX']",Icona Pop,2012-01-01
I Want It That Way,['Backstreet Boys'],The Hits--Chapter One,2001-10-23
Shake It Off,['Taylor Swift'],1989,2014-10-27
Say My Name,"[""Destiny's Child""]",The Writing's On The Wall,1999-09-07
We No Speak Americano - Radio Edit,"['Yolanda Be Cool', 'DCup']",We No Speak Americano,2010-05-31
My Own Worst Enemy,['Lit'],A Place In The Sun,1999-02-22
What a Girl Wants,['Christina Aguilera'],Christina Aguilera,1999-07-15
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],The Essential Celine Dion,2008
I Will Always Love You,['Whitney Houston'],Whitney The Greatest Hits,2000-05-16
Pony,['Ginuwine'],R&B: From Doo-Wop To Hip-Hop,1999-10-08
Push,['Matchbox Twenty'],Yourself or Someone Like You,1996-10-01
Tearin' up My Heart - Radio Edit,['*NSYNC'],'N Sync,1997-05-26
Beautiful,['Christina Aguilera'],Keeps Gettin' Better: A Decade of Hits,2008-11-12
Dirrty (feat. Redman),"['Christina Aguilera', 'Redman']",Stripped,2002-07-19
Genie in a Bottle,['Christina Aguilera'],Christina Aguilera,1999
Hurt,['Christina Aguilera'],Keeps Gettin' Better: A Decade of Hits,2008-11-12
2000-2016 Mashup,['Michael Constantino'],2000-2016 Mashup,2016-05-29
90's & 2000's Mashup,['Michael Constantino'],90's & 2000's Mashup,2016-07-11
2016 Mashup,['Michael Constantino'],2016 Mashup,2016-12-20
Despacito Mashup,['Michael Constantino'],Despacito Mashup,2017-07-10
No One,['Alicia Keys'],As I Am (Expanded Edition),2007-11-09
If I Ain't Got You,['Alicia Keys'],The Diary Of Alicia Keys,2003-12-02
Empire State of Mind (Part II) Broken Down,['Alicia Keys'],The Element Of Freedom,2009-12-15
Naughty Girl,['Beyoncé'],Dangerously In Love,2003-06-24
Man! I Feel Like A Woman!,['Shania Twain'],Come On Over,1997
Fuck Love,['Iggy Azalea'],The New Classic,2014-01-01
Needed Me,['Rihanna'],ANTI,2016-01-28
Stars Dance,['Selena Gomez'],Stars Dance,2013-01-01
Fix a Heart,['Demi Lovato'],Unbroken,2011-01-01
Revival,['Selena Gomez'],Revival (Deluxe),2015-10-09
It Will Rain,['Bruno Mars'],It Will Rain,2011-09-28
Hate That I Love You,"['Rihanna', 'Ne-Yo']",Good Girl Gone Bad: Reloaded,2008-06-02
Amnesia,['5 Seconds of Summer'],5 Seconds Of Summer,2014-06-27
L.O.V.E.,['Ashlee Simpson'],I Am Me (International Version),2005-01-01
Birthday Cake,['Rihanna'],Talk That Talk,2011-11-19
Do Somethin',['Britney Spears'],Greatest Hits: My Prerogative,2004-11-08
Thinking Of You,['Katy Perry'],One Of The Boys,2008-06-17
We Don't Talk Anymore (feat. Selena Gomez),"['Charlie Puth', 'Selena Gomez']",Nine Track Mind,2016-01-29
You'll Always Find Your Way Back Home,['Hannah Montana'],Hannah Montana The Movie,2009-01-01
Just A Little Bit Of Your Heart,['Ariana Grande'],My Everything (Deluxe),2014-08-22
I'm Like A Bird,['Nelly Furtado'],"Whoa, Nelly! (France Only Version)",2000
Unkiss Me,['Maroon 5'],V (Deluxe),2015-05-18
See You Again - Rock Mafia Remix,['Miley Cyrus'],See You Again,2008-01-01
Ordinary Girl,['Hannah Montana'],Hannah Montana Forever,2010-01-01
"Onko Kirkkonummi hereillä, Pt. 2 - K.V.N & LOBO Remix",['Likanen Etelä'],Kirkkonummi LP,2015-01-23
Kirkkonummi joka päivä - Original,['Likanen Etelä'],Kirkkonummi LP,2015-01-23
Bap U,['Party Favor'],Bap U,2014-10-07
Neva Left,['Snoop Dogg'],Neva Left,2017-05-19
Mount Sinai,['$uicideboy$'],Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,2016-09-08
"Tykitys (feat. Are, Nikke Ankara, Ironine & Kajo)","['Altis', '2nen', 'Are', 'Nikke Ankara', 'Ironine', 'KajO']",Sensuroimaton,2016-06-04
420 (Blaze Up),"['Snoop Dogg', 'Devin The Dude', 'Wiz Khalifa', 'DJ Battlecat']",Neva Left,2017-05-19
Nissan Micra 95,['Yung Hilly'],Nissan Micra 95,2017-05-21
Moment I Feared,"['Snoop Dogg', 'Rick Rock']",Neva Left,2017-05-19
Slut,['Madchild'],Silver Tongue Devil,2015-07-24
Fuck Tha Police,['N.W.A.'],Straight Outta Compton (2002 - Remaster),1988-08-08
Xxplosive,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']",2001,1999-11-16
Still Cold / Pathway Private,['Night Lovell'],Red Teenage Melody,2016-06-14
White Crime,['Lil Dicky'],Professional Rapper,2015-07-31
Really Really,['Kevin Gates'],Islah (Deluxe),2016-01-29
"How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)","['DJ Khaled', 'Chris Brown', 'Lil Wayne', 'Big Sean']","How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)",2015-06-25
Where Ya At (feat. Drake),"['Future', 'Drake']",DS2 (Deluxe),2015-07-17
Got Me,['Roy Woods'],Waking at Dawn,2016-07-01
Lollipop,"['Lil Wayne', 'Static Major']",Tha Carter III,2008-01-01
Young Kobe,['Tyga'],Young Kobe - Single,2014-06-03
Drinks On Us,"['Mike WiLL Made-It', 'The Weeknd', 'Swae Lee', 'Future']",Drinks On Us,2015-03-06
LUV,['Tory Lanez'],I Told You,2016-08-19
Rack City,['Tyga'],Rack City,2011-01-01
Some Way,"['NAV', 'The Weeknd']",NAV,2017-02-24
Cold,['Post Malone'],Stoney,2016-12-09
The Scientist,['Coldplay'],A Rush of Blood to the Head,2002-08-08
That Should Be Me - Acoustic Version,['Justin Bieber'],My Worlds - The Collection (International Package),2010-01-01
Mestaripiirros,['Anna Puu'],Anna Puu,2009-04-16
Hakuammuntaa,"['Ida Paul & Kalle Lindroth', 'Ida Paul', 'Kalle Lindroth']",Hakuammuntaa,2016-07-01
Hetkeksi,['YOUNGHEARTED'],Hetkeksi,2015
On Niin Paljon Mitä Menettää,['Mikko Pohjola'],On Niin Paljon Mitä Menettää,2016-09-30
Niagara,['Jannika B'],Niagara,2016-04-15
Valot pimeyksien reunoilla,['Apulanta'],Kunnes siitä tuli totta,2015-10-09
Viljaa,['PistePiste'],Hetken maailma on tässä,2013-08-19
Värifilmi,"['Nikke Ankara', 'Aki Tykki']",Värifilmi,2015-10-02
Laukauksia pimeään,['Ida Paul'],Laukauksia pimeään,2016-01-20
Kun olet poissa,['Eppu Normaali'],Historian suurmiehiä (Remastered),1990-01-01
Vuonna '85,['Eppu Normaali'],Repullinen Hittejä,1996
Murheellisten Laulujen Maa,['Eppu Normaali'],Tie Vie,1982-01-01
Joka Päivä Ja Joka Ikinen Yö,['Eppu Normaali'],Repullinen Hittejä,1996
"Kitara, Taivas Ja Tähdet",['Eppu Normaali'],Repullinen Hittejä,1996
Vihreän Joen Rannalla (Kauan Sitten),['Eppu Normaali'],Repullinen Hittejä,1996
Tahroja paperilla,['Eppu Normaali'],Historian suurmiehiä (Remastered),1990-01-01
Urheiluhullu,['Eppu Normaali'],Paskahatun Paluu,1991-01-01
Sama nainen (Vain elämää kausi 5),['Anna Puu'],Sama nainen (Vain elämää kausi 5),2016-09-23
Säännöt rakkaudelle,['Anna Puu'],Antaudun,2012-10-26
Täydellisen epätäydellinen,['Lucas'],Täydellisen epätäydellinen,2015-10-30
Nälkä (feat. Gracias),"['Lucas', 'Gracias']",Nälkä (feat. Gracias),2017-03-01
Kyyneleet (feat. Sami Saari),"['Cheek', 'Sami Saari']",Sokka irti,2012-04-04
Älkää unohtako toisianne,['Samuli Putro'],Taitekohdassa,2014-01-01
Siivet,['Teleks'],Siivet,2002-01-01
Satasen laina,['Nylon Beat'],Satasen laina,1997
Vapaa,['Kaija Koo'],Vapaa,2010-07-07
Kaunis rietas onnellinen,['Kaija Koo'],Kaunis rietas onnellinen - Parhaat 1980 - 2011,2011-09-20
Vanhaa suolaa,['Kaija Koo'],Kaunis rietas onnellinen - Parhaat 1980 - 2011,2011-09-20
Kuka keksi rakkauden,['Kaija Koo'],Kaunis rietas onnellinen - Parhaat 1980 - 2011,2011-09-20
Pummilla Tallinnaan (feat. Mikko),"['Tuomas Kauhanen', 'Mikko']",Pummilla Tallinnaan (feat. Mikko),2014-01-24
1985,['Tuomas Kauhanen'],Sano vaan Tuomas,2013-05-27
Vanha nainen hunningolla,['Erin'],Hunningolla,2011-05-16
Mä annan sut pois,['ABREU'],Vain elämää - kausi 2,2013-11-15
Kylmästä lämpimään,['ABREU'],Vain elämää - kausi 2,2013-11-15
Kukkurukuu,"['Mariska & Pahat Sudet', 'Mariska']",Kukkurukuu,2012-08-24
Järjetön rakkaus,['Jesse Kaikuranta'],Järjetön rakkaus,2012-01-01
Näytän sulle rannan,['Jesse Kaikuranta'],Vie mut kotiin,2012-01-01
Vie mut kotiin,['Jesse Kaikuranta'],Vie mut kotiin,2012-01-01
Syytön,['Nylon Beat'],Demo,2000
Vapaus käteen jää,['Haloo Helsinki!'],Maailma on tehty meitä varten,2013-11-22
Maailman Toisella Puolen,['Haloo Helsinki!'],III,2011-01-01
Sinä & hän,['Happoradio'],Sinä & hän,2013-12-13
Ihan hyvät ihmiset,['Happoradio'],Kauniin kääntöpiiri,2017-01-13
Levoton tyttö,['Anssi Kela'],Anssi Kela,2013-04-19
Enemmän duoo ku sooloo,['Kuningasidea'],On uusi aika,2012-06-08
Frankenstein,['Chisu'],Kun valaistun 2.0,2011
Parempi mies (feat. Samuli Edelmann),"['Cheek', 'Samuli Edelmann']",Kuka muu muka,2013-09-20
Viistäköön siipeni maata,['Elonkerjuu'],Ilon pirstaleet,2012-09-21
Niille joil on paha olla,['Cheek'],Kuka muu muka,2013-09-20
Pahempi toistaan,['Apulanta'],Kiila,2005-03-16
Paha ihminen,['Apulanta'],Kesä-EP,2008-06-11
Sokka irti,['Cheek'],Sokka irti,2012-04-04
Ei mitään hätää,['Samuli Edelmann'],Suomipoppia 17,2001-07-23
Pettävällä Jäällä,"['Yö', 'Annika Eklund']",Kiitos Ja Kunnia - 30v. Juhlakokoelma,2011-01-01
Niks ja naks,['STIG'],Niks ja naks,2013-10-04
Viheltelen,['STIG'],Viheltelen,2013-06-21
Tänään Lähtee,['Elokuu'],Pöytä on katettu,2013-01-01
Kolme pientä sanaa,['Anna Puu'],Iskelmägaala 2013,2013-02-15
Before I Marry You,['Kim Herold'],Before I Marry You,2011-01-01
Social Butterfly,['Kim Herold'],Social Butterfly,2008-01-01
Paremmat päivät,['Juha Tapio'],Lapislatsulia,2013-01-01
Yhtä en saa,['Jonna Tervomaa'],Aurinkoista Suomipoppia,2003-05-20
Minä toivon,['Jonna Tervomaa'],Minä toivon,2013-01-01
Ravistettava ennen käyttöä,['Apulanta'],Kuutio (kuinka aurinko voitettiin),2008-11-05
Let Go,"['Redrama', 'Kristinia DeBarge']",Let Go,2014-01-17
Forever Yours,['Sunrise Avenue'],Diamonds,2007-05-09
I Help You Hate Me,['Sunrise Avenue'],I Help You Hate Me,2017-08-18
Fairytale Gone Bad,['Sunrise Avenue'],Fairytales - Best Of 2006-2014 (Special Version),2014-01-01
Pauhaava sydän,['Lauri Tähkä & Elonkerjuu'],Kirkkahimmat 2000-2008,2008-01-01
Viisaus ei asu meissä,['Apulanta'],Eikä vieläkään ole edes ilta,2007-09-17
I Don't Dance,['Sunrise Avenue'],Out Of Style (Spotify version),2011-01-01
Liekki,"['Mariska & Pahat Sudet', 'Mariska']",Kukkurukuu,2012-08-21
Julia,['Neljänsuora'],Julia,2013-02-15
Molly the Murderer,['Sturm und Drang'],Molly The Murderer,2012-06-29
Kuka tahansa kelpaa,['Samuli Putro'],Kuka tahansa kelpaa,2014-01-01
Levottomat Tuulet,['DISCO'],Musta Sydän,2002-05-27
